"Ticker","Nome","Negócios","Última (R$)","Variação"
"BBDC4","Banco Bradesco","34.023.600","16,75","+2,38%"
"B3SA3","B3","28.673.500","14,62","+1,18%"
"BBAS3","Banco do Brasil","27.335.900","22,30","+1,41%"
"MGLU3","Magazine Luiza","24.795.900","9,19","+1,32%"
"COGN3","Cogna","23.357.100","2,92","+2,46%"
"VALE3","Vale","18.256.300","55,04","-0,47%"
"BEEF3","Minerva","16.802.700","5,11","+2,40%"
"ITSA4","Itaúsa","16.274.600","11,11","+2,11%"
"ABEV3","Ambev","15.694.900","13,48","-1,25%"
"VAMO3","Grupo Vamos","14.855.100","4,02","+1,77%"
"ASAI3","Assaí","14.598.100","10,25","+1,69%"
"PETR4","Petrobras","14.322.300","32,16","+0,34%"
"ITUB4","Itaú Unibanco","13.539.000","37,71","+2,47%"
"IFCM3","Infracommerce","12.784.600","0,05","+0,00%"
"USIM5","Usiminas","12.749.200","4,41","+2,08%"
"CSAN3","Cosan","11.832.700","7,07","+2,02%"
"PDGR3","PDG Realty","11.674.900","0,24","-7,69%"
"AZTE3","AZT Energia","11.053.800","0,55","+0,00%"
"CSNA3","Siderúrgica Nacional","10.430.800","8,23","+3,26%"
"CVCB3","CVC","10.071.200","2,49","+4,18%"
"CPLE6","Copel","9.409.500","12,35","+2,40%"
"AZUL4","Azul","9.257.100","0,93","+0,00%"
"RAIZ4","Raízen","9.255.600","1,70","+1,19%"
"CMIG4","Cemig","9.153.900","11,05","+1,94%"
"LREN3","Lojas Renner","9.136.500","19,29","+2,44%"
"GGBR4","Gerdau","9.109.900","16,79","+1,76%"
"GOAU4","Metalúrgica Gerdau","8.965.600","9,36","+1,52%"
"BBDC3","Banco Bradesco","8.889.900","14,42","+2,12%"
"VBBR3","Vibra Energia","8.630.700","22,00","+2,66%"
"POMO4","Marcopolo","8.571.700","8,11","+1,63%"
"RENT3","Localiza","8.454.500","39,25","+2,51%"
"ARML3","Armac","8.195.800","3,68","+24,75%"
"RADL3","RaiaDrogasil","8.173.900","15,22","+0,66%"
"LWSA3","Locaweb","7.429.700","3,63","+0,28%"
"HAPV3","Hapvida","7.227.800","34,95","+1,22%"
"KLBN11","Klabin","7.029.000","19,54","+2,90%"
"RAIL3","Rumo","6.967.800","18,64","+2,87%"
"WEGE3","WEG","6.963.500","42,71","+0,66%"
"PETR3","Petrobras","6.871.900","35,11","+0,46%"
"BRAV3","3R Petroleum","6.671.000","17,93","+1,82%"
"TIMS3","TIM","6.441.200","22,60","+2,91%"
